tv_clip,ad,found
chunk_20250127_165744.mp3,წიგნების თარო.mp3,58:47.39 - 59:21.19
chunk_20250127_165744.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_165744.mp3,ნინა სეტენტრე.mp3,No match
chunk_20250127_165744.mp3,გაგრძელება იქნება.mp3,"04:17.01 - 04:30.51, 56:14.37 - 56:27.87"
chunk_20250127_165744.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_165744.mp3,პრეზიდენტი ლაბლე.mp3,57:57.99 - 58:07.79
chunk_20250127_165744.mp3,მოწევა მავნებელია2.mp3,No match
chunk_20250127_165744.mp3,სანდომი.mp3,58:17.99 - 58:27.99
chunk_20250127_165744.mp3,ფინო.mp3,58:08.99 - 58:17.79
chunk_20250127_165744.mp3,მოამბე.mp3,No match
chunk_20250127_165744.mp3,ტრი ჟელანია.mp3,58:37.79 - 58:47.99
chunk_20250127_165744.mp3,ზიმფერი.mp3,58:27.99 - 58:37.79
chunk_20250127_165744.mp3,მოწევა მავნებელია1.mp3,No match
chunk_20250127_205707.mp3,მოწევა მავნებელია2.mp3,No match
chunk_20250127_205707.mp3,მოამბე.mp3,No match
chunk_20250127_205707.mp3,პრეზიდენტი ლაბლე.mp3,No match
chunk_20250127_205707.mp3,სანდომი.mp3,00:02.44 - 00:12.44
chunk_20250127_205707.mp3,ფინო.mp3,No match
chunk_20250127_205707.mp3,წიგნების თარო.mp3,No match
chunk_20250127_205707.mp3,გაგრძელება იქნება.mp3,No match
chunk_20250127_205707.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_205707.mp3,მოწევა მავნებელია1.mp3,No match
chunk_20250127_205707.mp3,ტრი ჟელანია.mp3,No match
chunk_20250127_205707.mp3,ზიმფერი.mp3,No match
chunk_20250127_205707.mp3,ნინა სეტენტრე.mp3,No match
chunk_20250127_205707.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_195720.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_195720.mp3,წიგნების თარო.mp3,11:12.39 - 11:46.19
chunk_20250127_195720.mp3,გაგრძელება იქნება.mp3,10:58.57 - 11:12.07
chunk_20250127_195720.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_195720.mp3,ნინა სეტენტრე.mp3,No match
chunk_20250127_195720.mp3,სანდომი.mp3,No match
chunk_20250127_195720.mp3,პრეზიდენტი ლაბლე.mp3,59:30.43 - 59:40.23
chunk_20250127_195720.mp3,მოწევა მავნებელია2.mp3,12:36.89 - 12:45.69
chunk_20250127_195720.mp3,ფინო.mp3,59:41.43 - 59:50.23
chunk_20250127_195720.mp3,მოამბე.mp3,No match
chunk_20250127_195720.mp3,ტრი ჟელანია.mp3,No match
chunk_20250127_195720.mp3,ზიმფერი.mp3,No match
chunk_20250127_195720.mp3,მოწევა მავნებელია1.mp3,No match
chunk_20250127_185727.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_185727.mp3,წიგნების თარო.mp3,No match
chunk_20250127_185727.mp3,გაგრძელება იქნება.mp3,02:53.74 - 03:07.24
chunk_20250127_185727.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_185727.mp3,ნინა სეტენტრე.mp3,No match
chunk_20250127_185727.mp3,პრეზიდენტი ლაბლე.mp3,02:03.84 - 02:13.64
chunk_20250127_185727.mp3,სანდომი.mp3,02:23.84 - 02:33.84
chunk_20250127_185727.mp3,მოწევა მავნებელია2.mp3,16:42.22 - 16:51.02
chunk_20250127_185727.mp3,ფინო.mp3,02:14.84 - 02:23.64
chunk_20250127_185727.mp3,მოამბე.mp3,No match
chunk_20250127_185727.mp3,ტრი ჟელანია.mp3,02:43.64 - 02:53.84
chunk_20250127_185727.mp3,მოწევა მავნებელია1.mp3,No match
chunk_20250127_185727.mp3,ზიმფერი.mp3,02:33.84 - 02:43.64
chunk_20250127_155751.mp3,წიგნების თარო.mp3,No match
chunk_20250127_155751.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_155751.mp3,გაგრძელება იქნება.mp3,"47:19.62 - 47:33.12, 50:31.02 - 50:44.52"
chunk_20250127_155751.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_155751.mp3,ნინა სეტენტრე.mp3,49:55.28 - 50:30.28
chunk_20250127_155751.mp3,სანდომი.mp3,49:23.24 - 49:33.24
chunk_20250127_155751.mp3,პრეზიდენტი ლაბლე.mp3,49:03.24 - 49:13.04
chunk_20250127_155751.mp3,ფინო.mp3,49:14.24 - 49:23.04
chunk_20250127_155751.mp3,მოწევა მავნებელია2.mp3,No match
chunk_20250127_155751.mp3,მოამბე.mp3,No match
chunk_20250127_155751.mp3,ტრი ჟელანია.mp3,49:43.04 - 49:53.24
chunk_20250127_155751.mp3,მოწევა მავნებელია1.mp3,No match
chunk_20250127_155751.mp3,ზიმფერი.mp3,49:33.24 - 49:43.04
chunk_20250127_175733.mp3,წიგნების თარო.mp3,No match
chunk_20250127_175733.mp3,გრძონების აღზრდა.mp3,No match
chunk_20250127_175733.mp3,გაგრძელება იქნება.mp3,No match
chunk_20250127_175733.mp3,პრაქტიკანტი.mp3,No match
chunk_20250127_175733.mp3,ნინა სეტენტრე.mp3,No match
chunk_20250127_175733.mp3,პრეზიდენტი ლაბლე.mp3,No match
chunk_20250127_175733.mp3,სანდომი.mp3,No match
chunk_20250127_175733.mp3,მოწევა მავნებელია2.mp3,No match
chunk_20250127_175733.mp3,ფინო.mp3,No match
chunk_20250127_175733.mp3,მოამბე.mp3,02:47.61 - 02:55.11
chunk_20250127_175733.mp3,ტრი ჟელანია.mp3,No match
chunk_20250127_175733.mp3,ზიმფერი.mp3,No match
chunk_20250127_175733.mp3,მოწევა მავნებელია1.mp3,No match
